field,importance
tags,0.46826442459558354
rating_bayesian,0.11340968232065311
rating_average,0.10695040779084074
publication_demographic,0.0656295479606018
status,0.06029336639170573
related_count,0.05874107294507859
year,0.05671305332962261
content_rating,0.027653438033878344
original_language,0.020885861032427303
is_award_winning,0.015659267339391585
is_new,0.005799878260216674
