rank,id,title,title_en,authors,artists,tags,publication_demographic,status,year,content_rating,original_language,follows,rating_average,rating_bayesian,comments_replies_count,related_count,related
222,ba7908db-5c9e-4f78-9fc1-3b3581f752e9,Look Back,Look Back,Fujimoto Tatsuki,Fujimoto Tatsuki,Oneshot; Thriller; Psychological; Comedy; Crime; Philosophical; Gore; Drama; School Life; Horror; Slice of Life; Tragedy,shounen,completed,2021.0,safe,ja,12834,9.3019,9.25553978764119,23,0,[]
223,1bad66ee-4857-433e-a075-704d93672341,Boku dake ga Shitterun daze,Only I Know,Taamo,Taamo,Romance; Comedy; Drama; School Life; Slice of Life,seinen,ongoing,2024.0,safe,ja,20231,9.3311,9.254747023480256,32,0,[]
224,6b958848-c885-4735-9201-12ee77abcb3c,SPY×FAMILY,SPY×FAMILY,Endou Tatsuya,Endou Tatsuya,Award Winning; Action; Animals; Romance; Comedy; Martial Arts; Adventure; Drama; School Life; Police; Slice of Life; Supernatural,shounen,ongoing,2019.0,safe,ja,137936,9.2669,9.253781607320716,296,11,"[{""id"": ""004ae1de-8a05-494b-b8ff-2f3e0ef4ea89"", ""relation"": ""doujinshi"", ""title"": ""Spy x Family — trick or treat!! (Doujinshi)""}, {""id"": ""0eaaecb5-8a8f-46f5-b7b3-293b7aeb9b49"", ""relation"": ""doujinshi"", ""title"": ""Spy x Family - Spy x Sex (Doujinshi)""}, {""id"": ""0ffc192d-fa0e-414e-a3c4-bc3eb9dd2d15"", ""relation"": ""doujinshi"", ""title"": ""Sweet Peanuts""}, {""id"": ""20879317-6acd-480a-8e54-86f160ef32c5"", ""relation"": ""doujinshi"", ""title"": ""Spy x Family - Spy x Sex (Doujinshi) (Fan Colored)""}, {""id"": ""326a6ed7-383b-44f7-ac76-5a607bdee11e"", ""relation"": ""doujinshi"", ""title"": ""SPY x FAMILY - Sex Hypnosis Plan (Doujinshi)""}, {""id"": ""41a0cb7f-3c25-4b40-89b9-ca68447c2ad3"", ""relation"": ""doujinshi"", ""title"": ""SPY×FAMILY - Damian's and Anya's Teenage Glow-up and the Forger Couple (Doujinshi)""}, {""id"": ""6feb755d-34a4-4bd4-a642-652977db4552"", ""relation"": ""doujinshi"", ""title"": ""Spy x Family - Anya and Damian (Doujinshi)""}, {""id"": ""9c414cc0-9e4e-412c-872c-eb8fe00b3e41"", ""relation"": ""doujinshi"", ""title"": ""SPY×FAMILY - Whether Asleep or Awake""}, {""id"": ""af0d84bf-9751-4412-9ae5-3d9e76691163"", ""relation"": ""doujinshi"", ""title"": ""Inu mo Family""}, {""id"": ""e45950fb-5e0f-4fd2-b1af-7380c7f8b735"", ""relation"": ""side_story"", ""title"": ""SPY×FAMILY: The Official Guide—Eyes Only""}, {""id"": ""f76a2f73-6f9c-4c23-85f1-4a59505615f4"", ""relation"": ""doujinshi"", ""title"": ""Spy x Family — Utatane Loid-san (Doujinshi)""}]"
225,ccc174c5-715c-446e-b115-41ae79e1f268,Tourigakari ni Wanpointo Adobaisu Shite Iku Taipu no Yankii,A Delinquent's Life Hacks,Otsuji,Otsuji,Romance; Comedy; Office Workers; School Life; Delinquents; Slice of Life,seinen,completed,2018.0,safe,ja,42884,9.2796,9.252445103981344,241,0,[]
226,127d4af7-4062-45ec-afb7-b8cf33deb3db,Welcome to the Ballroom,Welcome to the Ballroom,Takeuchi Tomo,Takeuchi Tomo,Comedy; Sports; Drama; School Life; Slice of Life,shounen,hiatus,2011.0,safe,ja,18968,9.3504,9.25228982374561,74,0,[]
227,1ee97895-4796-4bcf-bcd1-5ef99c011f8b,Yuru Camp△,Laid-Back Camp,Afro,Afro,Comedy; Adventure; School Life; Slice of Life; Cooking,seinen,ongoing,2015.0,safe,ja,15874,9.3722,9.250901434763202,60,9,"[{""id"": ""05ef1fa9-ae22-4a7a-9b9b-3538ea67fd0d"", ""relation"": ""doujinshi"", ""title"": ""Yuru Camp - Rin to Nadeshiko ~Camp no Yoru wa Hen~""}, {""id"": ""0c314411-6431-4c5e-89cb-f69b8a993545"", ""relation"": ""doujinshi"", ""title"": ""Yurucamp △ - Ecchi na Inuyama Senpai (Doujinshi)""}, {""id"": ""22f86931-c9fc-49a8-91b0-f55d618c584a"", ""relation"": ""shared_universe"", ""title"": ""mono""}, {""id"": ""486441e9-e0d8-4ece-ae5a-a35c813620b2"", ""relation"": ""spin_off"", ""title"": ""Yuru Camp △ Anthology Comic""}, {""id"": ""4b54e80c-a282-48f4-959f-182c3c90031d"", ""relation"": ""doujinshi"", ""title"": ""One Day""}, {""id"": ""695841f4-6087-4333-8f1c-d45a6bc677f7"", ""relation"": ""doujinshi"", ""title"": ""Yurucamp △ - Yuri Manga - Secret (Doujinshi)""}, {""id"": ""7e5a2e51-7170-4f14-8223-47a7be84818f"", ""relation"": ""doujinshi"", ""title"": ""Yuru Camp - Nade Rin ga Onsen de (Doujinshi)""}, {""id"": ""9eb755bb-de4c-432b-aa87-38bae5311258"", ""relation"": ""doujinshi"", ""title"": ""Yuru Camp - Rin to Nadeshiko ~Machi Date de Natsu Camp Junbi!~""}, {""id"": ""a59e6ab0-0769-4aa5-8a20-c54d4184da65"", ""relation"": ""doujinshi"", ""title"": ""Yurucamp △ - Icha Camp (Doujinshi)""}]"
228,ef96c21c-6838-43d1-9b6e-cb30546bba8c,Spirit Circle,Spirit Circle,Mizukami Satoshi,Mizukami Satoshi,Reincarnation; Sci-Fi; Historical; Psychological; Ghosts; Romance; Comedy; Adventure; Drama; Supernatural,seinen,completed,2012.0,safe,ja,14118,9.2836,9.249819401299382,126,0,[]
229,0d63b6f1-03b2-4f04-827c-8b2995026cf8,Namju ui Ibyangttal i Doeeotseumnida,The Male Lead's Little Lion Daughter,Latine (라티네),Ttona (또나),Reincarnation; Monsters; Action; Psychological; Long Strip; Comedy; Survival; Magic; Isekai; Drama; Fantasy; Slice of Life; Adaptation; Full Color,,ongoing,2021.0,safe,ko,25348,9.3034,9.249361198811766,28,0,[]
230,eb211cad-7fdf-4215-8ea1-5c37a188ce35,Childhood Friend Complex,Childhood Friend Complex,Eunhi (은하이),Eunhi (은하이),Long Strip; Romance; Comedy; Drama; Web Comic; Full Color,,ongoing,2024.0,erotica,ko,20728,9.3065,9.249230283693644,40,0,[]
231,a25e46ec-30f7-4db6-89df-cacbc1d9a900,Horimiya,Horimiya,HERO,Hagiwara Daisuke,Romance; Comedy; School Life; Slice of Life; Adaptation,shounen,completed,2011.0,safe,ja,133990,9.2554,9.246846482375094,597,1,"[{""id"": ""4ec3e6b3-18bf-4964-9c87-1f287d3398f4"", ""relation"": ""adapted_from"", ""title"": ""Hori-san to Miyamura-kun""}]"
