rank,id,title,title_en,authors,artists,tags,publication_demographic,status,year,content_rating,original_language,follows,rating_average,rating_bayesian,comments_replies_count,related_count,related
1,1044287a-73df-48d0-b0b2-5327f32dd651,JoJo no Kimyou na Bouken: Part 7 - Steel Ball Run Color-ban,JoJo's Bizarre Adventure: Part 7–Steel Ball Run - Digital Colored Comics,Araki Hirohiko,Araki Hirohiko,Award Winning; Official Colored; Historical; Action; Psychological; Comedy; Martial Arts; Adventure; Sexual Violence; Gore; Drama; Horror; Fantasy; Supernatural; Mystery; Tragedy,seinen,completed,2012.0,suggestive,ja,85565,9.6937,9.685351054135962,176,2,"[{""id"": ""72d1ae71-4391-4bb2-9f39-784af3cc3c71"", ""relation"": ""prequel"", ""title"": ""JoJo no Kimyou na Bouken: Part 6 - Stone Ocean Color-ban""}, {""id"": ""7a9d76c3-42b9-4bcf-81d7-ad307d2ea971"", ""relation"": ""sequel"", ""title"": ""JoJo no Kimyou na Bouken: Part 8 - JoJolion Color-ban""}]"
2,801513ba-a712-498c-8f57-cae55b38cc92,Berserk,Berserk,Miura Kentarou; Mori Kouji,Miura Kentarou; Studio Gaga,Award Winning; Monsters; Action; Demons; Psychological; Survival; Adventure; Sexual Violence; Magic; Military; Philosophical; Gore; Drama; Horror; Fantasy; Tragedy,seinen,ongoing,1989.0,erotica,ja,210657,9.6902,9.684034248811548,491,3,"[{""id"": ""5a143603-d575-4062-9528-12c2ddb83af3"", ""relation"": ""side_story"", ""title"": ""Berserk Gaiden""}, {""id"": ""77994aef-fe9a-418b-97a8-12b306a8dbdc"", ""relation"": ""doujinshi"", ""title"": ""Berserk - Heartache (Doujinshi)""}, {""id"": ""fab932f0-385e-46c2-b67a-f7e68ad85208"", ""relation"": ""doujinshi"", ""title"": ""Berserk - Patapata Rosine!! (Doujinshi)""}]"
3,a9dd451c-3c45-4d66-a818-4e1b78855838,Uma Musume - Cinderella Gray,Uma Musume: Cinderella Gray,Sugiura Masafumi; Itou Junnousuke,Kuzumi Taiyou,Sports; Drama; Slice of Life; Adaptation,seinen,completed,2020.0,safe,ja,18985,9.743,9.680320154817734,38,9,"[{""id"": ""19e83dd3-083b-47a2-a308-8eb56c53df1f"", ""relation"": ""same_franchise"", ""title"": ""Uma Musume: Pretty Derby—Anthology Comic STAR""}, {""id"": ""3e860011-8609-48a0-ace4-2d95451d50e0"", ""relation"": ""side_story"", ""title"": ""Uma Musume: Cinderella Gray Gaiden ~Far-off thunder~""}, {""id"": ""502bdb47-9669-4d37-b701-6dd4a4f00c8d"", ""relation"": ""side_story"", ""title"": ""Uma Musume Cinderella Gray Gaiden: Bangai""}, {""id"": ""50d011bb-09a6-46c7-8078-7ba96558a864"", ""relation"": ""same_franchise"", ""title"": ""Uma Musume (Franchise)""}, {""id"": ""778b8438-af3a-4534-841c-adf923b55ee1"", ""relation"": ""same_franchise"", ""title"": ""Uma Musume - Pretty Derby: Star Blossom""}, {""id"": ""c83006f3-e650-46fd-b6de-a88df6b59fab"", ""relation"": ""same_franchise"", ""title"": ""Umamusume - Pretty Derby PisuPisu☆SupiSupi - Golshi-chan""}, {""id"": ""d142610d-bc2d-4746-8a79-539b13b4b497"", ""relation"": ""side_story"", ""title"": ""Uma Musume: Cinderella Gray Gaiden ~Lingering ashes~""}, {""id"": ""e4344acc-3425-42ea-8830-6e59db32781b"", ""relation"": ""same_franchise"", ""title"": ""Starting Gate! Uma Musume Pretty Derby""}, {""id"": ""fd149943-ab40-46bc-863e-f9ed9c137189"", ""relation"": ""side_story"", ""title"": ""Uma Musume: Cinderella Gray Gaiden ~The mermaid left behind~""}]"
4,d1a9fdeb-f713-407f-960c-8326b586e6fd,Vagabond,Vagabond,Inoue Takehiko; Yoshikawa Eiji,Inoue Takehiko,Award Winning; Historical; Action; Psychological; Martial Arts; Adventure; Sexual Violence; Gore; Drama; Tragedy,seinen,hiatus,1999.0,safe,ja,82753,9.683,9.659755886914512,104,7,"[{""id"": ""577469f9-fc50-4e3b-ba38-bccf4138c637"", ""relation"": ""sequel"", ""title"": ""Exhibition Catalog INOUENO: Mikazuki Edition""}, {""id"": ""88b6fcca-57dd-4df2-aac5-8935eaa6c34d"", ""relation"": ""alternate_story"", ""title"": ""Musashi""}, {""id"": ""9560d60b-bc1f-4a4f-9420-c8eae79f8104"", ""relation"": ""side_story"", ""title"": ""The Book of Five Rings (Variety Art Works)""}, {""id"": ""9843917a-1546-4672-b5ad-3ecc5f7020af"", ""relation"": ""alternate_story"", ""title"": ""Miyamoto Musashi (ISHInoMORI Shotaro)""}, {""id"": ""a2a9216f-6a8d-4b28-bb9f-8ee549245787"", ""relation"": ""alternate_story"", ""title"": ""Miyamoto Musashi""}, {""id"": ""a9bf14be-fcff-4eea-9c45-ba3e40d399fa"", ""relation"": ""alternate_story"", ""title"": ""Musashi (KAWASAKI Noboru)""}, {""id"": ""fe18fe91-fa82-441c-9d87-66414d59a622"", ""relation"": ""same_franchise"", ""title"": ""Exhibition Catalog INOUENO: Mangetsu Edition""}]"
5,0d4b349e-b7a2-4d63-9ce0-f864e790c4a2,Veil,Veil,Fukuda Ikumi,Fukuda Ikumi,Historical; Romance; Philosophical; Police; Slice of Life; Full Color,josei,ongoing,2019.0,safe,ja,31599,9.7014,9.65457298107169,37,0,[]
6,8b8102da-c875-4dae-a79c-c62e817ff3f5,Eomma re Mannareo Ganeun Gil,On the Way to Meet Mom,Gomyang,Gomyang,Action; Long Strip; Comedy; Adventure; Fantasy; Web Comic; Slice of Life; Full Color,,ongoing,2024.0,safe,ko,22967,9.6793,9.632570919295828,51,0,[]
7,d7f56ace-cd30-48b9-8b64-afeca0077fca,Yeokdaegeum Yeongji Seolgyesa,The Greatest Estate Developer,Lee Hyunmin (이현민); BK_Moon (문백경),Kim Hyeon-Soo (김현수),Reincarnation; Monsters; Action; Long Strip; Comedy; Adventure; Magic; Isekai; Fantasy; Web Comic; Adaptation; Full Color,,completed,2021.0,safe,ko,33887,9.6509,9.613620792798867,48,3,"[{""id"": ""15ab4953-66b2-4030-bfd1-498389484191"", ""relation"": ""shared_universe"", ""title"": ""Pungjag-ieyo, Ma-wang-nim!""}, {""id"": ""4d0d1e50-f744-455a-a001-c4015a415f87"", ""relation"": ""shared_universe"", ""title"": ""Yongwang-nim ui Chef ga Doeeotseumnida""}, {""id"": ""fb971113-f68e-4987-bc7e-77a9fa292171"", ""relation"": ""shared_universe"", ""title"": ""Yak Paneun Hwangtaeja""}]"
8,418791c0-35cf-4f87-936b-acd9cddf0989,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms with Dignity,Mikami Saka,Mikami Saka,Romance; Comedy; School Life; Slice of Life,shounen,ongoing,2021.0,safe,ja,141607,9.6203,9.610950411625902,149,0,[]
9,984df7d5-ae4c-43c6-aa65-737b9f37e5ef,Nae Choeae neun Makcha reul Tanda,My Bias Gets on the Last Train,JIXKSEE,JIXKSEE,Long Strip; Romance; Drama; Music; Full Color,,ongoing,2024.0,safe,ko,22641,9.6549,9.604226676932878,23,0,[]
10,6ecc62e4-25ad-4102-b0d8-580a8023d2fb,Kimi to Tsuzuru Utakata,The Summer You Were There,Yuama,Yuama,Award Winning; Psychological; Romance; Girls' Love; Drama; Medical; School Life; Slice of Life; Tragedy,,completed,2020.0,safe,ja,54753,9.6173,9.603044779871055,281,1,"[{""id"": ""645ed5e1-9a81-4771-9088-8e8265c4bd42"", ""relation"": ""side_story"", ""title"": ""Kimi ni Okuru Eien""}]"
11,d90ea6cb-7bc3-4d80-8af0-28557e6c4e17,Dungeon Meshi,Delicious in Dungeon,Kui Ryouko,Kui Ryouko,Award Winning; Monsters; Action; Comedy; Adventure; Magic; Drama; Fantasy; Monster Girls; Cooking,seinen,completed,2014.0,safe,ja,121806,9.6026,9.592500926475175,469,7,"[{""id"": ""2b5827e8-0413-4867-95f9-132e66ae094e"", ""relation"": ""doujinshi"", ""title"": ""Elf & Imouto no Tokumori Shinyuudon""}, {""id"": ""5bad3fe1-c741-4766-805b-555949510aa6"", ""relation"": ""doujinshi"", ""title"": ""Dungeon Meshi - KabuMisu in the Dungeon's Chamber (Doujinshi)""}, {""id"": ""92164e01-0c3f-43b2-bcc2-8ede61c229c1"", ""relation"": ""doujinshi"", ""title"": ""Dungeon Meshi no Manga""}, {""id"": ""9471a5d6-31c0-480b-9bd2-3d479ff7706c"", ""relation"": ""doujinshi"", ""title"": ""Dungeon Meshi - Marcille Meshi (Doujinshi)""}, {""id"": ""b982aa9c-17eb-415d-bcf8-a92f7daf0ae4"", ""relation"": ""spin_off"", ""title"": ""Delicious in Dungeon World Guide: The Adventurer's Bible""}, {""id"": ""c7df830c-2246-4134-933f-0a32fdc34b00"", ""relation"": ""doujinshi"", ""title"": ""Delicious in Dungeon : The Fourth Basement Floor""}, {""id"": ""cdaa5379-2280-4675-a7da-b893b753085a"", ""relation"": ""doujinshi"", ""title"": ""Dairy Quest""}]"
12,58be6aa6-06cb-4ca5-bd20-f1392ce451fb,Yotsuba to!,Yotsuba&!,Azuma Kiyohiko,Azuma Kiyohiko,Award Winning; Comedy; Philosophical; Slice of Life,shounen,hiatus,2003.0,safe,ja,49847,9.6197,9.591449856053115,170,11,"[{""id"": ""313682fc-c512-4a1c-8c66-33ad0121c505"", ""relation"": ""doujinshi"", ""title"": ""Yotsuba&! - Yanda&! (Doujinshi)""}, {""id"": ""4b3d263d-92a7-4be2-991f-3adf24053713"", ""relation"": ""doujinshi"", ""title"": ""Yotsuba&! - Clover＊(Doujinshi)""}, {""id"": ""53838e07-076f-43f3-8b82-6cc861060b00"", ""relation"": ""doujinshi"", ""title"": ""Yotsuba&! - Kakat&! (Doujinshi)""}, {""id"": ""667d78cf-462a-4586-9532-e79154278c9a"", ""relation"": ""doujinshi"", ""title"": ""Yotsuba&! - Yanyots Manga (Doujinshi)""}, {""id"": ""b5b7169d-464b-4dd1-b7b0-a271fa54a1be"", ""relation"": ""doujinshi"", ""title"": ""Yotsuba&! - Natsukaze (Doujinshi)""}, {""id"": ""d164aa71-c70b-4174-98f0-18d86cfceac3"", ""relation"": ""doujinshi"", ""title"": ""Yotsubato! - Ena & Fuuka's book! (Doujinshi)""}, {""id"": ""d2f73eb0-6bbb-4000-8234-8e64bf79c417"", ""relation"": ""doujinshi"", ""title"": ""Yotsuba&! - Yotsuba and \""!\"" (Doujinshi)""}, {""id"": ""d4496b92-b1bc-411f-ad36-b74a359887bc"", ""relation"": ""doujinshi"", ""title"": ""Yotsuba&! - Pretty Neighbor&! (Doujinshi)""}, {""id"": ""d8adcc66-b2a3-4c0c-a8b4-c6f2f0538b90"", ""relation"": ""shared_universe"", ""title"": ""Azumanga Daioh""}, {""id"": ""eb3e0972-0513-4dd6-a4e3-50f989a8e689"", ""relation"": ""doujinshi"", ""title"": ""Yotsuba&! - Sleeping Beauty (Doujinshi)""}, {""id"": ""eecb13f7-a424-4290-a7d6-a52fae97938f"", ""relation"": ""doujinshi"", ""title"": ""Yotsuba&! - Amanatsu - Sweet Rainy Girly Summer (Doujinshi)""}]"
13,2c4b353f-d968-461b-be49-4f2599189a79,Pokemon: Ouja no Saiten,Pokemon: Festival of Kings,Seijun Tombo,Seijun Tombo,Action; Adventure; Doujinshi; Drama; Fantasy; Tragedy,,ongoing,2011.0,safe,ja,16557,9.6547,9.58310780982334,108,0,[]
14,b30dfee3-9d1d-4e8d-bfbe-8fcabc3c96f6,JoJo no Kimyou na Bouken: Part 7 - Steel Ball Run,JoJo's Bizarre Adventure: Part 7 – Steel Ball Run,Araki Hirohiko,Araki Hirohiko,Award Winning; Historical; Action; Comedy; Martial Arts; Adventure; Sexual Violence; Gore; Drama; Supernatural,seinen,completed,2004.0,safe,ja,15736,9.6296,9.578135577849663,16,3,"[{""id"": ""848a5814-6f15-4917-9487-ca5ec3da371f"", ""relation"": ""doujinshi"", ""title"": ""JoJo's Bizarre Adventures: Stehe Stolz""}, {""id"": ""c086153a-0162-412a-9914-a7b2633d0cd3"", ""relation"": ""sequel"", ""title"": ""JoJo no Kimyou na Bouken: Part 8 - JoJolion""}, {""id"": ""ea57752d-acb7-469e-aa60-43e694ded9a9"", ""relation"": ""prequel"", ""title"": ""JoJo no Kimyou na Bouken: Part 6 - Stone Ocean""}]"
15,3fba42cf-2ad6-4c30-a7ab-46cb8149208a,Bungou Stray Dogs,Bungou Stray Dogs,Asagiri Kafka,Harukawa 35,Action; Crime; Mafia; Gore; Drama; Vampires; Police; Supernatural; Mystery,seinen,ongoing,2012.0,suggestive,ja,42101,9.5965,9.564859304071572,51,18,"[{""id"": ""0fc2cafc-0c2f-419c-a891-5c0745080800"", ""relation"": ""side_story"", ""title"": ""Bungou Stray Dogs: STORM BRINGER""}, {""id"": ""2134044c-51d6-4a9d-85a2-c4cd0169f5c9"", ""relation"": ""side_story"", ""title"": ""Bungou Stray Dogs Koushiki Anthology: Rin""}, {""id"": ""438c361c-60aa-4725-83c5-356bc79d4db5"", ""relation"": ""doujinshi"", ""title"": ""Bungou Stray Dogs - Hitorikiri no Mayonaka (Doujinshi)""}, {""id"": ""56261e00-c2e5-48b5-b003-f28a58eb80f7"", ""relation"": ""alternate_story"", ""title"": ""Bungou Stray Dogs Beast""}, {""id"": ""56261e00-c2e5-48b5-b003-f28a58eb80f7"", ""relation"": ""side_story"", ""title"": ""Bungou Stray Dogs Beast""}, {""id"": ""56261e00-c2e5-48b5-b003-f28a58eb80f7"", ""relation"": ""spin_off"", ""title"": ""Bungou Stray Dogs Beast""}, {""id"": ""569963c5-6b0b-4f92-b561-e1304b78b0dc"", ""relation"": ""side_story"", ""title"": ""Bungou Stray Dogs: Wan!""}, {""id"": ""569963c5-6b0b-4f92-b561-e1304b78b0dc"", ""relation"": ""spin_off"", ""title"": ""Bungou Stray Dogs: Wan!""}, {""id"": ""5b67448e-ddf3-49d2-9701-c1edd8f0e7ee"", ""relation"": ""side_story"", ""title"": ""Bungou Stray Dogs: Dead Apple""}, {""id"": ""61889f95-60b7-4406-a5db-b256d2a742ae"", ""relation"": ""side_story"", ""title"": ""Bungou Stray Dogs: Dazai wo Hirotta Hi""}, {""id"": ""930cf98e-021a-40ce-af71-dcb8d81768ab"", ""relation"": ""doujinshi"", ""title"": ""Bungou Stray Dogs – Tama Asobi (Doujinshi)""}, {""id"": ""9c124df0-828c-4f2c-9374-fcfa187d689c"", ""relation"": ""doujinshi"", ""title"": ""Bungou Stray Dogs Official Anthology""}, {""id"": ""9c124df0-828c-4f2c-9374-fcfa187d689c"", ""relation"": ""spin_off"", ""title"": ""Bungou Stray Dogs Official Anthology""}, {""id"": ""aa7f61df-54ec-438e-b194-31b4e18010e0"", ""relation"": ""side_story"", ""title"": ""Bungou Stray Dogs - Tantei-sha Setsuritsu Hiwa?""}, {""id"": ""b397efc4-e5e0-40e3-99b9-65b2838650ed"", ""relation"": ""side_story"", ""title"": ""Bungo Stray Dogs Gaiden - Ayatsuji Yukito VS. Kyougoku Natsuhiko""}, {""id"": ""b397efc4-e5e0-40e3-99b9-65b2838650ed"", ""relation"": ""spin_off"", ""title"": ""Bungo Stray Dogs Gaiden - Ayatsuji Yukito VS. Kyougoku Natsuhiko""}, {""id"": ""d8dcbff1-a8b6-4fcf-88de-3977aa5cef33"", ""relation"": ""side_story"", ""title"": ""Bungou Stray Dogs: Dazai, Chuuya, Juugosai""}, {""id"": ""e9357f9d-ec92-42cf-8265-94143c740256"", ""relation"": ""side_story"", ""title"": ""Bungo Stray Dogs (Vertical Comic)""}]"
16,c8a0426d-539b-4f6a-9537-fbccf4962529,Amayo no Tsuki,The Moon on a Rainy Night,Kuzushiro,Kuzushiro,Romance; Girls' Love; Drama; School Life,seinen,ongoing,2021.0,safe,ja,35708,9.5947,9.561943248239187,110,0,[]
17,ea47525d-99df-45b5-9103-dd853f49f8c3,Mairimashita! Iruma-kun - If Episode of Mafia,Welcome to Demon School! Iruma-kun: IruMafia Edition,Hiroja,Hiroja,Action; Comedy; Crime; Survival; Mafia; Drama; Delinquents; Police; Slice of Life,shounen,ongoing,2023.0,safe,ja,21131,9.623,9.554457348425471,34,5,"[{""id"": ""4a904949-da95-4d7d-8b39-9af045ccc25e"", ""relation"": ""same_franchise"", ""title"": ""Mairimashita! Iruma-kun: Boku Doumei no Game-michi""}, {""id"": ""61526d2c-1a12-402e-9072-76d4a8010cbd"", ""relation"": ""same_franchise"", ""title"": ""Mairimashita! Iruma-kun: Kalego Gaiden""}, {""id"": ""a2263632-9329-4e3d-95d5-ee9022128581"", ""relation"": ""same_franchise"", ""title"": ""After School! Iruma-kun""}, {""id"": ""c8a49176-cf28-42e5-960e-8efd2d903323"", ""relation"": ""same_franchise"", ""title"": ""We are the Main Characters of the Demon World!""}, {""id"": ""d7037b2a-874a-4360-8a7b-07f2899152fd"", ""relation"": ""alternate_story"", ""title"": ""Mairimashita! Iruma-kun""}]"
